Date,Clicks,Impressions,CTR,Position
2026-05-07,2,239,0.84%,26.4
2026-05-08,3,263,1.14%,24.6
2026-05-09,2,254,0.79%,30.6
2026-05-10,3,295,1.02%,34.7
2026-05-11,2,262,0.76%,26.5
2026-05-12,9,301,2.99%,30.4
2026-05-13,1,311,0.32%,27.3
2026-05-14,2,387,0.52%,22.8
2026-05-15,7,578,1.21%,18.7
2026-05-16,2,408,0.49%,29.1
2026-05-17,2,525,0.38%,25.4
2026-05-18,3,523,0.57%,28
2026-05-19,2,386,0.52%,28.6
2026-05-20,5,387,1.29%,27.9
2026-05-21,6,453,1.32%,26.5
2026-05-22,0,475,0%,24.4
2026-05-23,2,483,0.41%,27.2
2026-05-24,2,508,0.39%,28.3
2026-05-25,1,393,0.25%,30.9
2026-05-26,5,328,1.52%,32.8
2026-05-27,8,421,1.9%,28.3
2026-05-28,5,452,1.11%,23.4
2026-05-29,3,368,0.82%,27.2
2026-05-30,2,290,0.69%,33.9
2026-05-31,4,369,1.08%,33
2026-06-01,2,317,0.63%,23.6
2026-06-02,6,286,2.1%,22.6
2026-06-03,2,367,0.54%,25.6
2026-06-04,3,367,0.82%,26.7
2026-06-05,5,356,1.4%,24.4
2026-06-06,2,278,0.72%,28.2
2026-06-07,1,339,0.29%,26.3
2026-06-08,2,422,0.47%,26.4
2026-06-09,6,424,1.42%,23.3
2026-06-10,3,495,0.61%,19.9
2026-06-11,4,434,0.92%,18.3
2026-06-12,6,392,1.53%,23.7
2026-06-13,1,369,0.27%,27.9
2026-06-14,0,345,0%,27.5
2026-06-15,2,495,0.4%,22.4
2026-06-16,4,514,0.78%,20.7
2026-06-17,1,544,0.18%,21.4
2026-06-18,0,376,0%,22.8
2026-06-19,3,343,0.87%,21.8
2026-06-20,5,349,1.43%,24.1
2026-06-21,2,392,0.51%,24.8
2026-06-22,3,371,0.81%,23.4
2026-06-23,7,341,2.05%,26.1
2026-06-24,4,346,1.16%,22.9
2026-06-25,3,423,0.71%,24.8
2026-06-26,3,321,0.93%,23.4
2026-06-27,3,329,0.91%,24.8
2026-06-28,4,412,0.97%,25.7
2026-06-29,5,448,1.12%,28.1
2026-06-30,2,416,0.48%,30.6
2026-07-01,2,339,0.59%,23.3
2026-07-02,8,360,2.22%,23.7
2026-07-03,3,282,1.06%,27.9
2026-07-04,1,313,0.32%,25.7
2026-07-05,1,326,0.31%,24.7
2026-07-06,5,370,1.35%,24.7
2026-07-07,7,524,1.34%,25.7
2026-07-08,6,392,1.53%,25.6
2026-07-09,3,429,0.7%,27.8
2026-07-10,3,524,0.57%,17.9
2026-07-11,1,386,0.26%,29.6
2026-07-12,5,424,1.18%,25.1
2026-07-13,9,515,1.75%,28.7
2026-07-14,0,430,0%,28.1
2026-07-15,2,393,0.51%,26.7
2026-07-16,5,347,1.44%,27.2
2026-07-17,2,349,0.57%,26.4
2026-07-18,3,275,1.09%,28.7
2026-07-19,1,361,0.28%,30.8
2026-07-20,8,457,1.75%,27.4
2026-07-21,7,508,1.38%,24.3
2026-07-22,2,559,0.36%,26.2
2026-07-23,4,591,0.68%,29.8
2026-07-24,3,568,0.53%,25.5
2026-07-25,2,526,0.38%,32.3
2026-07-26,3,474,0.63%,31.4
2026-07-27,9,851,1.06%,25.2
2026-07-28,4,656,0.61%,32.5
2026-07-29,6,719,0.83%,35
2026-07-30,5,568,0.88%,37.1
2026-07-31,6,529,1.13%,38
2026-08-01,0,522,0%,29.3
2026-08-02,1,524,0.19%,37.7
2026-08-03,5,618,0.81%,32.4
2026-08-04,7,549,1.28%,31.4
2026-08-05,5,544,0.92%,29.1
2026-08-06,7,533,1.31%,24.3
2026-08-07,6,332,1.81%,21.6
2026-08-08,3,420,0.71%,28.1
2026-08-09,4,484,0.83%,26
2026-08-10,13,591,2.2%,26.8
2026-08-11,8,479,1.67%,22.3
2026-08-12,5,361,1.39%,18.6
