Country,Clicks,Impressions,CTR,Position
United States,354,38510,0.92%,27.34
Egypt,6,28,21.43%,8.36
India,2,370,0.54%,41.66
Brazil,2,158,1.27%,11.22
South Africa,1,20,5%,13.6
Nigeria,1,11,9.09%,11.27
Guam,1,10,10%,6
Philippines,0,302,0%,18.85
Canada,0,239,0%,22.13
Vietnam,0,211,0%,23.16
United Kingdom,0,183,0%,28.45
Mexico,0,90,0%,14.54
Colombia,0,88,0%,17.78
Thailand,0,80,0%,23.04
Indonesia,0,78,0%,21.74
Australia,0,68,0%,8.44
Russia,0,55,0%,20.75
France,0,54,0%,11.56
Germany,0,53,0%,13.7
Spain,0,48,0%,19.5
China,0,43,0%,6.98
Argentina,0,43,0%,17
Turkey,0,42,0%,18.55
Ukraine,0,42,0%,18.76
Pakistan,0,40,0%,16.68
Saudi Arabia,0,40,0%,21.05
Bangladesh,0,37,0%,21.43
Italy,0,36,0%,13.67
Malaysia,0,30,0%,17.07
Morocco,0,30,0%,24.9
Algeria,0,26,0%,21.92
Chile,0,22,0%,19.32
Netherlands,0,21,0%,15.48
Jordan,0,21,0%,25.38
Ecuador,0,20,0%,11.4
Venezuela,0,18,0%,16.78
Peru,0,16,0%,12.06
South Korea,0,15,0%,14.6
Hong Kong,0,14,0%,10.43
Czechia,0,14,0%,12.5
Portugal,0,13,0%,10.85
Iraq,0,13,0%,25.08
Poland,0,11,0%,6.73
Kenya,0,11,0%,12.18
United Arab Emirates,0,11,0%,20.64
Japan,0,10,0%,9.2
Switzerland,0,10,0%,12.8
Romania,0,10,0%,16.8
Singapore,0,9,0%,9.78
Ireland,0,8,0%,5.62
Greece,0,8,0%,13.5
Austria,0,8,0%,16.12
Hungary,0,8,0%,38.12
Israel,0,7,0%,6.29
Paraguay,0,7,0%,6.86
Sweden,0,7,0%,10.14
Belgium,0,7,0%,17.86
New Zealand,0,7,0%,21.86
Sri Lanka,0,6,0%,7.17
Macedonia,0,6,0%,7.83
Taiwan,0,6,0%,9.67
Slovakia,0,6,0%,11.33
Costa Rica,0,6,0%,12.67
Bulgaria,0,6,0%,20.83
Nepal,0,6,0%,31.67
Finland,0,5,0%,6.2
Dominican Republic,0,5,0%,8.4
Norway,0,5,0%,10.2
Belarus,0,5,0%,10.8
Bolivia,0,5,0%,14
Denmark,0,4,0%,6.5
Iran,0,4,0%,7.75
Georgia,0,4,0%,9
Uganda,0,4,0%,10.5
Tunisia,0,4,0%,14.75
Cambodia,0,4,0%,17.25
Palestine,0,4,0%,18.75
Lithuania,0,4,0%,36.25
Croatia,0,3,0%,8.33
Panama,0,3,0%,14.33
Kazakhstan,0,3,0%,16.33
Azerbaijan,0,3,0%,19.33
Senegal,0,3,0%,20.33
Serbia,0,3,0%,21.67
Bahamas,0,3,0%,35
Armenia,0,2,0%,1
Nicaragua,0,2,0%,1
Iceland,0,2,0%,1.5
Myanmar (Burma),0,2,0%,2.5
Jamaica,0,2,0%,3.5
Puerto Rico,0,2,0%,4
Solomon Islands,0,2,0%,5.5
Kuwait,0,2,0%,7.5
Sudan,0,2,0%,8.5
El Salvador,0,2,0%,9.5
Macau,0,2,0%,17
Trinidad & Tobago,0,2,0%,17
Guatemala,0,2,0%,22
Uzbekistan,0,2,0%,24
Qatar,0,2,0%,27.5
Syria,0,2,0%,31.5
Guadeloupe,0,2,0%,45.5
Tanzania,0,1,0%,1
Angola,0,1,0%,2
Madagascar,0,1,0%,2
Bahrain,0,1,0%,3
Cuba,0,1,0%,5
Kosovo,0,1,0%,5
Ghana,0,1,0%,6
Namibia,0,1,0%,6
Réunion,0,1,0%,6
Burkina Faso,0,1,0%,7
Lebanon,0,1,0%,7
Uruguay,0,1,0%,8
Maldives,0,1,0%,9
Ethiopia,0,1,0%,10
Gibraltar,0,1,0%,11
Vanuatu,0,1,0%,11
Albania,0,1,0%,15
Jersey,0,1,0%,15
Moldova,0,1,0%,17
Somalia,0,1,0%,17
Niger,0,1,0%,20
Kyrgyzstan,0,1,0%,31
Luxembourg,0,1,0%,33
Côte d’Ivoire,0,1,0%,44
Montenegro,0,1,0%,46
Oman,0,1,0%,46
Zimbabwe,0,1,0%,49
